LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_NCDD@BEEP,DEFECT@WAFER@CLASS_NCDD@BLOCKED_HM_ETCH,DEFECT@WAFER@CLASS_NCDD@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_NCDD@BLURRY_IMAGE,DEFECT@WAFER@CLASS_NCDD@BROKEN_PATTERN,DEFECT@WAFER@CLASS_NCDD@DENT,DEFECT@WAFER@CLASS_NCDD@DOME,DEFECT@WAFER@CLASS_NCDD@FALLEN_LINES,DEFECT@WAFER@CLASS_NCDD@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_NCDD@LARGE_PARTICLE,DEFECT@WAFER@CLASS_NCDD@MINI,DEFECT@WAFER@CLASS_NCDD@NVD_FALSE,DEFECT@WAFER@CLASS_NCDD@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_NCDD@PATTERN,DEFECT@WAFER@CLASS_NCDD@RESIDUE,DEFECT@WAFER@CLASS_NCDD@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_NCDD@SCRATCH,DEFECT@WAFER@CLASS_NCDD@SIZE_SMALL,DEFECT@WAFER@CLASS_NCDD@SMALL_PARTICLE,DEFECT@WAFER@CLASS_NCDD@UNCLASSIFIED,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT
D527275,253,GP0DX253JKD7,0,0,0,0,0,0,0,0.007218,0.007218,0,0,0.230986,0,0,0,0.003609,0,0.010827,0,,D5272750,PNCB,09/28/2025 11:37:46 PM,BPD444,8M5CL,8M5CL,02/15/2026 1:13:04 PM,8M5CL,D1D,3,6956123
D527275,421,GN8XE421JKD2,0.003609,0,0,0,0,0,0.007218,0.003609,0,0,0,0.241814,0,0,0,0,0,0.007218,0,,D5272750,PNCB,09/28/2025 11:37:46 PM,BPD444,8M5CL,8M5CL,02/15/2026 1:06:59 PM,8M5CL,D1D,4,6956078
D527276,84,A1KJT084SLD0,0,0,0,0,0,0,0,0,0,0,0,0.247266,0,0,0,0.003584,0,0.010751,0,,D5272760,PNCB,10/09/2025 8:15:46 AM,BPD432,8M5CL,8M5CL,02/15/2026 1:07:20 PM,8M5CL,D1D,1,6956098
D527276,85,A1KJT085SLH2,0,0,0,0,0,0,0.007218,0,0,0,0,0.205722,0,0,0,0,0,0.014437,0.003609,,D5272760,PNCB,10/09/2025 8:15:46 AM,BPD432,8M5CL,8M5CL,02/15/2026 1:03:07 PM,8M5CL,D1D,2,6956122
D527276,95,A1KJT095SLE3,0.003609,0,0,0,0,0,0,0,0,0,0,0.269902,0,0,0.003609,0.003609,0.003609,0.011612,0,0,D5272760,PNCB,10/09/2025 8:15:46 AM,BPD432,8M5CL,8M5CL,02/15/2026 12:59:59 PM,8M5CL,D1D,3,6956077
D523809,14,KHQYU014WFA6,0,0,0,0,0,0,0,0.007363,0,0,0,0.092035,0,0,0,0,0.003681,0.003681,0,,D5238090,PYZB,10/09/2025 11:32:33 AM,BPD444,8M5CL,8M5CL,05/23/2026 1:52:53 AM,8M5CL,D1D,1,6817921
D523809,20,KHQYU020WFD0,0,0,0,0,0,0,0.007363,0.011044,0.003681,0,0,0.103079,0,0,0,0,0,0.003681,0.007363,,D5238090,PYZB,10/09/2025 11:32:33 AM,BPD444,8M5CL,8M5CL,05/23/2026 1:57:38 AM,8M5CL,D1D,2,6817812
D523809,23,KHQYU023WFB0,0,0,0,0,0,0,0.014726,0.003681,0.014726,0,0,0.08099,0,0,0,0.011044,0,0.011044,0.003681,,D5238090,PYZB,10/09/2025 11:32:33 AM,BPD444,8M5CL,8M5CL,05/23/2026 1:33:34 AM,8M5CL,D1D,3,6817911
D523809,28,KHQYU028WFA1,0,0,0,0,0,0,0,0,0,0,0,0.084672,0,0,0,0.014726,0,0,0.007363,,D5238090,PYZB,10/09/2025 11:32:33 AM,BPD444,8M5CL,8M5CL,05/23/2026 2:29:33 AM,8M5CL,D1D,4,6817865
D523621,412,KHQYW412WFE2,0.003584,0,0,0,0,0,0.003584,0,0.007167,0,0,0.193512,0,0,0,0.003584,0,0.003584,0,,D5236210,PNCB,10/09/2025 11:04:07 AM,BPD444,8M5CL,8M5CL,02/15/2026 10:14:39 PM,8M5CL,D1D,1,6807476
D523621,442,KHQYW442WFD0,0,0,0,0,0,0,0.010751,0.003584,0,0,0,0.215014,0,0,0,0,0,0.003584,0,,D5236210,PNCB,10/09/2025 11:04:07 AM,BPD444,8M5CL,8M5CL,02/15/2026 10:14:20 PM,8M5CL,D1D,2,6807597
D523621,526,KHQYT526WFB5,0,0,0,0,0,0,0,0,0.003584,0,0,0.193512,0,0,0,0,0,0.007167,0,,D5236210,PNCB,10/09/2025 11:04:07 AM,BPD444,8M5CL,8M5CL,02/15/2026 10:14:15 PM,8M5CL,D1D,3,6807484
D523621,534,KHQYT534WFF0,0,0,0,0,0,0,0.003584,0,0,0,0,0.193512,0,0,0,0,0,0,0,,D5236210,PNCB,10/09/2025 11:04:07 AM,BPD444,8M5CL,8M5CL,02/15/2026 10:13:41 PM,8M5CL,D1D,4,6807567
D523640,572,KHQZA572WFD0,0.003584,0,0,0,0,0,0.014334,0,0.003584,0,0,0.154093,0,0,0,0.007167,0,0.025085,0,,D5236400,PNCB,10/16/2025 6:38:03 PM,BPD432,8M5CL,8M5CL,02/15/2026 9:56:42 PM,8M5CL,D1D,1,6812225
D523640,582,KHQZA582WFA1,0.007167,0,0,0,0,0,0.007167,0,0.010751,0.003584,0,0.168427,0,0,0,0.003584,0,0.021501,0.014334,,D5236400,PNCB,10/16/2025 6:38:03 PM,BPD432,8M5CL,8M5CL,02/15/2026 9:55:51 PM,8M5CL,D1D,2,6812158
D523640,584,KHQZA584WFB2,0,0,0,0,0,0,0.017918,0.003584,0.003584,0,0,0.11109,0,0,0,0.003584,0,0.025085,0,,D5236400,PNCB,10/16/2025 6:38:03 PM,BPD432,8M5CL,8M5CL,02/15/2026 9:55:18 PM,8M5CL,D1D,3,6812137
D523640,599,KHQZA599WFE7,0,0,0,0,0,0,0.007218,0.003609,0,0,0,0.111884,0,0,0,0.003609,0,0.007218,0,,D5236400,PNCB,10/16/2025 6:38:03 PM,BPD432,8M5CL,8M5CL,02/15/2026 9:55:07 PM,8M5CL,D1D,4,6812112
D525177,64,KHU9N064WFF7,0,0,0,0.003584,0,0,0.003584,0.003584,0,0,0,0.200679,0,0,0,0,0,0.007167,0,,D5251770,PNCB,10/16/2025 6:20:49 AM,BPD444,8M5CL,8M5CL,02/15/2026 6:28:10 PM,8M5CL,D1D,1,6879487
D525177,65,KHU9N065WFC6,0,0,0,0,0,0,0.003609,0.007218,0.010827,0,0,0.249032,0,0,0,0.021655,0,0.007218,0,,D5251770,PNCB,10/16/2025 6:20:49 AM,BPD444,8M5CL,8M5CL,02/15/2026 6:25:49 PM,8M5CL,D1D,2,6879565
D525216,322,MC79B322WAD0,0,0,0,0,0,0,0,0.010978,0.003659,0,0,0.493999,0,0,0,0,0.007319,0.021956,0.003659,0,D5252160,PXMG,10/18/2025 9:07:26 PM,BPD432,8M5CL,8M5CL,02/15/2026 5:14:24 PM,8M5CL,D1D,1,6889668
D525216,325,MC79B325WAB0,0,0,0,0,0,0,0,0,0,0,0,0.40609,0,0,0,0,0,0.014767,0,,D5252160,PXMG,10/18/2025 9:07:26 PM,BPD432,8M5CL,8M5CL,02/15/2026 5:13:54 PM,8M5CL,D1D,2,6889666
D525216,339,MC79B339WAA3,0,0,0,0,0,0,0,0,0,0,0,0.494691,0,0,0,0.007383,0,0.007383,0,0,D5252160,PXMG,10/18/2025 9:07:26 PM,BPD432,8M5CL,8M5CL,02/15/2026 5:13:34 PM,8M5CL,D1D,3,6889785
D525216,343,MC79B343WAB4,0,0,0,0,0,0,0,0.003692,0.003692,0,0,0.391323,0,0,0,0.003692,0,0.007383,0,,D5252160,PXMG,10/18/2025 9:07:26 PM,BPD432,8M5CL,8M5CL,02/15/2026 5:13:38 PM,8M5CL,D1D,4,6889727
D525218,85,A17UP085SLB2,0,0,0,0.007383,0,0,0,0.003692,0,0,0,0.302722,0,0,0,0,0.003692,0.029534,0,,D5252180,PXMG,10/18/2025 1:23:52 PM,BPD448,8M5CL,8M5CL,02/15/2026 5:07:31 PM,8M5CL,D1D,1,6890059
D525218,99,A17UP099SLA5,0,0,0,0.003692,0,0,0,0.003692,0.003692,0,0,0.38394,0,0,0,0.007383,0,0.011075,0.003692,,D5252180,PXMG,10/18/2025 1:23:52 PM,BPD448,8M5CL,8M5CL,02/15/2026 5:07:04 PM,8M5CL,D1D,2,6890006
D525218,100,A17UP100SLC1,0,0,0,0,0,0,0.037677,0,0,0,0,0.364841,0,0,0,0,0,0.007319,0,0,D5252180,PXMG,10/18/2025 1:23:52 PM,BPD448,8M5CL,8M5CL,02/15/2026 5:06:46 PM,8M5CL,D1D,3,6890077
D525218,109,A17UP109SLD4,0.003692,0,0,0,0,0,0,0.003692,0,0,0,0.361789,0,0,0,0,0.003692,0.003692,0.007383,,D5252180,PXMG,10/18/2025 1:23:52 PM,BPD448,8M5CL,8M5CL,02/15/2026 5:06:25 PM,8M5CL,D1D,4,6890067
D525195,336,MC79B336WAC3,0,0,0,0,0,0,0.003584,0,0,0,0,0.197096,0,0,0,0,0,0.007167,0,,D5251950Q,PNCB,10/23/2025 4:08:59 AM,BPD446,8M5CL,8M5CL,02/15/2026 5:59:21 PM,8M5CL,D1D,1,7534924
D525195,341,MC79B341WAA3,0,0,0,0,0,0,0.003609,0.003609,0,0,0,0.216549,0,0,0,0,0.007218,0.010827,0,,D5251950Q,PNCB,10/23/2025 4:08:59 AM,BPD446,8M5CL,8M5CL,02/15/2026 5:58:56 PM,8M5CL,D1D,2,7534904
D525195,357,MC79B357WAA7,0,0,0,0,0,0,0.007218,0,0,0,0,0.223768,0,0,0,0,0,0.007218,0,,D5251950Q,PNCB,10/23/2025 4:08:59 AM,BPD446,8M5CL,8M5CL,02/15/2026 5:57:43 PM,8M5CL,D1D,3,7534798
D525195,366,MC79B366WAB1,0,0,0,0,0,0,0,0,0,0,0,0.215014,0,0,0,0,0,0.039419,0,,D5251950Q,PNCB,10/23/2025 4:08:59 AM,BPD446,8M5CL,8M5CL,02/15/2026 5:56:55 PM,8M5CL,D1D,4,7534926
D525201,96,A19FD096SLB1,0,0,0,0,0,0,0,0.007167,0,0,0,0.193512,0,0,0,0,0,0.132592,0,,D5252010,PNCB,10/22/2025 11:23:18 AM,BPD444,8M5CL,8M5CL,02/15/2026 5:44:32 PM,8M5CL,D1D,1,6885081
D525201,172,A19FM172SLH1,0.003584,0,0,0,0,0,0,0.003584,0,0,0,0.189929,0,0,0,0.010751,0,0.089589,0,,D5252010,PNCB,10/22/2025 11:23:18 AM,BPD444,8M5CL,8M5CL,02/15/2026 5:43:13 PM,8M5CL,D1D,2,6885012
D525201,174,A19FM174SLA7,0,0,0,0,0,0,0,0,0,0,0,0.200679,0,0,0,0,0,0,0,,D5252010C,PNCB,10/23/2025 4:21:52 AM,BPD432,8M5CL,8M5CL,02/15/2026 5:45:07 PM,8M5CL,D1D,1,7535763
D525201,202,A16X9202SLA7,0,0,0,0,0,0,0,0.010751,0,0,0,0.204263,0,0,0,0,0,0.010751,0,,D5252010C,PNCB,10/23/2025 4:21:52 AM,BPD432,8M5CL,8M5CL,02/15/2026 5:44:38 PM,8M5CL,D1D,2,7535749
D525201,210,A16X9210SLE2,0,0,0,0,0,0,0,0,0,0,0,0.164844,0,0,0,0,0,0.010751,0,,D5252010C,PNCB,10/23/2025 4:21:52 AM,BPD432,8M5CL,8M5CL,02/15/2026 5:44:12 PM,8M5CL,D1D,3,7535709
D525201,212,A16X9212SLF3,0,0,0,0,0,0,0.003584,0.003584,0.003584,0,0,0.189929,0,0,0,0,0,0.003584,0.007167,,D5252010C,PNCB,10/23/2025 4:21:52 AM,BPD432,8M5CL,8M5CL,02/15/2026 5:43:25 PM,8M5CL,D1D,4,7535641
D524137,60,KHRNY060WFG1,0,0,0,0,0,0,0.003584,0,0.003584,0,0,0.186345,0,0,0,0,0.003584,0.003584,0.010751,,D5241370V,PNCB,10/23/2025 3:29:36 AM,BPD436,8M5CL,8M5CL,02/15/2026 8:17:16 PM,8M5CL,D1D,1,7535904
D524137,96,KHRNY096WFA7,0,0,0,0,0,0,0,0,0,0,0,0.186345,0,0,0,0.003584,0,0.010751,0,,D5241370V,PNCB,10/23/2025 3:29:36 AM,BPD436,8M5CL,8M5CL,02/15/2026 8:16:28 PM,8M5CL,D1D,2,7535890
D524137,116,KHRNY116WFA7,0.003584,0,0,0,0,0,0,0.003584,0,0,0,0.197096,0,0,0,0.017918,0,0.014334,0.007167,,D5241370V,PNCB,10/23/2025 3:29:36 AM,BPD436,8M5CL,8M5CL,02/15/2026 8:16:10 PM,8M5CL,D1D,3,7535855
D524137,117,KHRNY117WFF1,0.009023,0,0,0,0,0,0,0.004511,0,0,0,0.251739,0,0,0,0.045114,0,0.013534,0.004511,0,D5241370V,PNCB,10/23/2025 3:29:36 AM,BPD436,8M5CL,8M5CL,02/15/2026 8:15:34 PM,8M5CL,D1D,4,7535852
D526227,651,GN6CY651JKA0,0,0,0,0.003609,0,0,0,0,0.003609,0,0.003609,0.274296,0,0.007218,0,0,0,0.003609,0,,D5262270,PNCB,10/24/2025 9:04:02 PM,BPD442,8M5CL,8M5CL,02/15/2026 3:46:48 PM,8M5CL,D1D,1,6917818
D526227,653,GN6CY653JKB1,0,0,0,0,0,0,0,0,0,0,0,0.281514,0,0,0,0.003609,0,0,0,,D5262270,PNCB,10/24/2025 9:04:02 PM,BPD442,8M5CL,8M5CL,02/15/2026 3:46:47 PM,8M5CL,D1D,2,6917910
D526227,654,GN6CY654JKF3,0,0,0,0,0,0,0.007167,0,0,0,0,0.290268,0,0,0,0,0,0.014334,0.017918,,D5262270,PNCB,10/24/2025 9:04:02 PM,BPD442,8M5CL,8M5CL,02/15/2026 3:45:51 PM,8M5CL,D1D,3,6917999
D526227,655,GN6CY655JKC2,0,0,0,0.003609,0,0,0.003609,0.003609,0,0,0,0.238204,0,0,0,0.003609,0,0.003609,0,,D5262270,PNCB,10/24/2025 9:04:02 PM,BPD442,8M5CL,8M5CL,02/15/2026 3:45:18 PM,8M5CL,D1D,4,6917989
D524133,82,KHQ5T082WFD7,0,0,0,0,0,0,0.003584,0,0,0,0,0.193512,0,0,0,0.003584,0,0,0,,D5241330J,PNCB,10/24/2025 7:02:57 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:25:22 PM,8M5CL,D1D,1,7546630
D524133,86,KHQ5T086WFG1,0,0,0,0,0,0,0.003584,0.003584,0.003584,0,0,0.186345,0,0,0,0,0,0.010751,0,,D5241330J,PNCB,10/24/2025 7:02:57 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:25:05 PM,8M5CL,D1D,2,7546647
D524133,244,KHQ5T244WFA0,0,0,0,0,0,0,0.010751,0,0.010751,0,0,0.193512,0,0,0,0,0.003584,0.007167,0,,D5241330J,PNCB,10/24/2025 7:02:57 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:24:34 PM,8M5CL,D1D,3,7546599
D524133,245,KHQ5T245WFE2,0,0,0,0,0,0,0,0.003609,0,0,0,0.202113,0,0,0,0,0,0,0,,D5241330J,PNCB,10/24/2025 7:02:57 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:24:06 PM,8M5CL,D1D,4,7546635
D524133,59,KHQ5T059WFF3,0,0,0,0,0,0,0.003609,0.003609,0.007218,0,0,0.187676,0,0,0,0,0,0.003609,0,,D5241330,PNCB,10/24/2025 8:57:51 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:24:04 PM,8M5CL,D1D,1,6851064
D524133,61,KHQ5T061WFF3,0,0,0,0,0,0,0.010827,0,0.003609,0,0,0.223768,0,0,0,0.003609,0,0,0,,D5241330,PNCB,10/24/2025 8:57:51 PM,BPD450,8M5CL,8M5CL,02/15/2026 8:23:46 PM,8M5CL,D1D,2,6851143
D525205,11,KHTWT011WFC0,0.003609,0,0,0,0,0,0.007218,0.003609,0,0,0,0.198504,0,0,0,0,0,0,0,,D5252050,PNCB,10/21/2025 8:23:45 PM,BPD458,8M5CL,8M5CL,02/15/2026 5:28:08 PM,8M5CL,D1D,1,6888984
D525205,348,KHU9T348WFG1,0,0,0,0,0,0,0,0,0.003584,0,0,0.197096,0,0,0,0,0,0.010751,0,,D5252050,PNCB,10/21/2025 8:23:45 PM,BPD458,8M5CL,8M5CL,02/15/2026 5:25:30 PM,8M5CL,D1D,2,6888915
D523636,243,MC7BP243WAF1,0,0,0,0,0,0,0.007218,0,0.003609,0,0,0.238204,0,0,0,0.003609,0,0.010827,0,,D5236360,PNCB,10/23/2025 12:24:30 PM,BPD450,8M5CL,8M5CL,02/15/2026 10:02:26 PM,8M5CL,D1D,1,6812149
D523636,249,MC7BP249WAB1,0,0,0,0,0,0,0.014437,0,0.003609,0,0,0.227377,0,0,0,0,0,0.007218,0,,D5236360,PNCB,10/23/2025 12:24:30 PM,BPD450,8M5CL,8M5CL,02/15/2026 10:01:35 PM,8M5CL,D1D,2,6812136
D523636,303,MC7BP303WAB0,0,0,0,0,0,0,0.003609,0,0.007218,0,0,0.249032,0,0,0,0,0,0,0,,D5236360,PNCB,10/23/2025 12:24:30 PM,BPD450,8M5CL,8M5CL,02/15/2026 10:00:47 PM,8M5CL,D1D,3,6812119
D523636,305,MC7BP305WAC1,0.003609,0,0,0,0,0,0.003609,0,0.003609,0,0,0.216549,0,0,0,0.003609,0,0.003609,0,,D5236360,PNCB,10/23/2025 12:24:30 PM,BPD450,8M5CL,8M5CL,02/15/2026 9:59:30 PM,8M5CL,D1D,4,6812184
D525195,331,MC79B331WAD2,0,0,0,0,0,0,0.003609,0,0.007218,0,0,0.249032,0,0,0,0.003609,0.010827,0.003609,0.003609,0,D5251950,PNCB,10/21/2025 8:39:17 PM,BPD436,8M5CL,8M5CL,02/15/2026 5:57:44 PM,8M5CL,D1D,1,6884389
D525195,333,MC79B333WAE3,0,0,0,0,0,0,0,0.003609,0,0,0,0.205722,0,0,0,0.003609,0,0,0,,D5251950,PNCB,10/21/2025 8:39:17 PM,BPD436,8M5CL,8M5CL,02/15/2026 5:56:49 PM,8M5CL,D1D,2,6884380
D525205,352,KHU9T352WFH2,0,0,0,0,0,0,0,0,0,0,0,0.154093,0,0,0,0,0,0.010751,0,,D5252050W,PNCB,10/22/2025 7:01:32 AM,BPD442,8M5CL,8M5CL,02/15/2026 5:26:51 PM,8M5CL,D1D,1,7531730
D525205,356,KHU9T356WFC1,0.064504,0,0,0,0,0,0,0.003584,0,0,0,0.168427,0,0,0,0,0,0,0,,D5252050W,PNCB,10/22/2025 7:01:32 AM,BPD442,8M5CL,8M5CL,02/15/2026 5:25:56 PM,8M5CL,D1D,2,7531728
D525205,375,KHU9T375WFG7,0,0,0,0,0,0,0,0,0,0,0,0.162412,0,0,0,0,0,0.014437,0,,D5252050W,PNCB,10/22/2025 7:01:32 AM,BPD442,8M5CL,8M5CL,02/15/2026 5:25:39 PM,8M5CL,D1D,3,7531767
D525205,382,KHU9T382WFG0,0,0,0,0,0,0,0.003584,0,0,0,0,0.11109,0,0,0,0,0,0.010751,0,,D5252050W,PNCB,10/22/2025 7:01:32 AM,BPD442,8M5CL,8M5CL,02/15/2026 5:25:08 PM,8M5CL,D1D,4,7531765
D526941,197,KHUNK197WFE5,0,0,0,0,0,0,0.025264,0,0,0,0,0.187676,0,0,0.003609,0,0,0.003609,0,,D5269410,PNCB,10/21/2025 8:24:09 PM,BPD436,8M5CL,8M5CL,02/24/2026 3:15:39 AM,8M5CL,D1D,1,6941674
D526941,259,KHUNK259WFB5,0,0,0,0,0,0,0.018046,0.010827,0,0,0,0.191285,0,0,0,0.007218,0.003609,0.007218,0,,D5269410,PNCB,10/21/2025 8:24:09 PM,BPD436,8M5CL,8M5CL,02/24/2026 5:49:58 AM,8M5CL,D1D,2,6941724
D523109,20,MC9KH020WAF4,0,0,0.007319,0,0,0,0.010978,0,0.003659,0,0,0.673302,0,0,0,0,0,0.036593,0.003659,,D5231090,PXMG,10/19/2025 1:10:45 AM,BPD454,8M5CL,8M5CL,02/15/2026 10:27:53 PM,8M5CL,D1D,1,6807765
D523109,50,MC9KH050WAE2,0,0,0.007319,0,0,0,0,0.003659,0,0,0,0.640369,0,0,0.003659,0,0,0.029274,0.003659,0,D5231090,PXMG,10/19/2025 1:10:45 AM,BPD454,8M5CL,8M5CL,02/15/2026 10:27:34 PM,8M5CL,D1D,2,6807589
D523109,73,MC9KH073WAD7,0,0,0,0,0,0,0,0,0,0,0,0.826947,0,0,0,0.011075,0,0.003692,0.003692,,D5231090,PXMG,10/19/2025 1:10:45 AM,BPD454,8M5CL,8M5CL,02/15/2026 10:27:42 PM,8M5CL,D1D,3,6807576
D523109,105,MC9KH105WAC1,0,0,0,0,0,0,0,0,0,0,0,0.874939,0,0,0,0,0,0.011075,0,,D5231090,PXMG,10/19/2025 1:10:45 AM,BPD454,8M5CL,8M5CL,02/15/2026 10:27:12 PM,8M5CL,D1D,4,6807714
D525217,436,GN6YJ436JKA5,0,0,0,0,0,0,0.010978,0.003659,0,0,0,0.428132,0,0,0,0,0,0,0,0,D5252170,PXMG,11/09/2025 6:54:04 PM,BPD448,8M5CL,8M5CL,02/17/2026 1:01:24 PM,8M5CL,D1D,1,6889781
D525217,437,GN6YJ437JKE7,0,0,0.007383,0,0,0,0.014767,0,0.007383,0,0,0.358097,0,0,0,0,0,0.018459,0.011075,,D5252170,PXMG,11/09/2025 6:54:04 PM,BPD448,8M5CL,8M5CL,02/17/2026 1:01:23 PM,8M5CL,D1D,2,6889822
D526254,7,MC79D007WAD7,0,0,0,0,0,0,0,0,0,0,0,0.180458,0,0,0,0.007218,0.003609,0.007218,0.003609,,D5262540,PNCB,11/01/2025 7:46:26 AM,BPD450,8M5CL,8M5CL,02/15/2026 3:21:34 PM,8M5CL,D1D,1,6923300
D526254,11,MC79D011WAF0,0,0,0,0,0,0,0,0,0,0,0,0.198504,0,0,0,0,0,0.007218,0,,D5262540,PNCB,11/01/2025 7:46:26 AM,BPD450,8M5CL,8M5CL,02/15/2026 3:21:27 PM,8M5CL,D1D,2,6923137
D526254,29,MC79D029WAG5,0,0,0,0,0,0,0,0,0,0,0,0.205722,0,0,0,0,0,0.010827,0,,D5262540,PNCB,11/01/2025 7:46:26 AM,BPD450,8M5CL,8M5CL,02/15/2026 3:20:18 PM,8M5CL,D1D,3,6923217
D526254,67,MC79D067WAB3,0,0,0,0,0,0,0.003609,0.003609,0,0,0,0.194894,0,0,0,0,0.003609,0.010827,0,,D5262540,PNCB,11/01/2025 7:46:26 AM,BPD450,8M5CL,8M5CL,02/15/2026 3:19:59 PM,8M5CL,D1D,4,6923253
D523630,358,GM9HP358JKF1,0.003584,0,0,0,0,0,0.003584,0,0,0,0,0.164844,0,0,0,0.007167,0,0.007167,0.003584,,D5236300,PNCB,10/31/2025 12:58:04 PM,BPD432,8M5CL,8M5CL,02/15/2026 10:05:33 PM,8M5CL,D1D,1,6809453
