LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_NCDD@BEEP,DEFECT@WAFER@CLASS_NCDD@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_NCDD@BLURRY_IMAGE,DEFECT@WAFER@CLASS_NCDD@DOME,DEFECT@WAFER@CLASS_NCDD@FALLEN_LINES,DEFECT@WAFER@CLASS_NCDD@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_NCDD@LARGE_PARTICLE,DEFECT@WAFER@CLASS_NCDD@MINI,DEFECT@WAFER@CLASS_NCDD@NVD_FALSE,DEFECT@WAFER@CLASS_NCDD@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_NCDD@PATTERN,DEFECT@WAFER@CLASS_NCDD@RESIDUE,DEFECT@WAFER@CLASS_NCDD@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_NCDD@SCRATCH,DEFECT@WAFER@CLASS_NCDD@SIZE_SMALL,DEFECT@WAFER@CLASS_NCDD@SMALL_PARTICLE,DEFECT@WAFER@CLASS_NCDD@UNCLASSIFIED,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT,DEFECT@WAFER@CLASS_EDI@BEEP,DEFECT@WAFER@CLASS_EDI@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_EDI@BLURRY_IMAGE,DEFECT@WAFER@CLASS_EDI@DOME,DEFECT@WAFER@CLASS_EDI@FALLEN_LINES,DEFECT@WAFER@CLASS_EDI@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_EDI@LARGE_PARTICLE,DEFECT@WAFER@CLASS_EDI@MINI,DEFECT@WAFER@CLASS_EDI@NVD_FALSE,DEFECT@WAFER@CLASS_EDI@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_EDI@PATTERN,DEFECT@WAFER@CLASS_EDI@RESIDUE,DEFECT@WAFER@CLASS_EDI@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_EDI@SCRATCH,DEFECT@WAFER@CLASS_EDI@SIZE_SMALL,DEFECT@WAFER@CLASS_EDI@SMALL_PARTICLE,DEFECT@WAFER@CLASS_EDI@WAFER_TOTAL
D604213,51,GT3FY051JKC6,0,0,0,0.010827,0.003609,0.007218,0,0,0.184067,0,0,0,0,0,0.003609,0,,D6042130,PNCB,04/21/2026 1:32:44 AM,BPD458,8M6CL,8M6CL,06/20/2026 6:18:02 PM,8M6CL,D1D,2,7972634,,,,,,,,,,,,,,,,,
D604213,85,GT3FY085JKD6,0,0,0,0.018046,0.007218,0.014437,0,0,0.191285,0,0,0,0.036092,0,0.050528,0,,D6042130,PNCB,04/21/2026 1:32:44 AM,BPD458,8M6CL,8M6CL,06/21/2026 5:26:59 AM,8M6CL,D1D,3,7972631,,,,,,,,,,,,,,,,,
D604213,115,GT3FY115JKA7,0,0,0,0.014437,0.003609,0,0,0,0.184067,0,0,0,0,0,0.003609,0,,D6042130,PNCB,04/21/2026 1:32:44 AM,BPD458,8M6CL,8M6CL,06/21/2026 4:28:37 PM,8M6CL,D1D,4,7972583,,,,,,,,,,,,,,,,,
D603184,255,KJ7YN255WFH2,0.003584,0,0,0.014337,0.007168,0.007168,0,0,0.053763,0,0.003584,0,0.014337,0,0.007168,0,,D6031840,PXMG,04/20/2026 5:44:49 PM,BPD442,8M6CL,8M6CL,07/03/2026 11:19:22 PM,8M6CL,D1D,1,7938410,,,,,,,,,,,,,,,,,
D603184,259,KJ7YN259WFC1,0,0,0,0.014337,0.007168,0.007168,0,0,0.096773,0,0,0,0.028674,0,0.039426,0,,D6031840,PXMG,04/20/2026 5:44:49 PM,BPD442,8M6CL,8M6CL,07/03/2026 11:43:08 PM,8M6CL,D1D,2,7938464,,,,,,,,,,,,,,,,,
D604231,51,A29M4051SLG5,0,0,0,0.007168,0.010753,0.003584,0,0,0.146952,0,0,0,0,0,0.003584,0.003584,,D6042310,PXMG,04/25/2026 1:37:57 PM,BPD454,8M6CL,8M6CL,07/05/2026 6:48:15 PM,8M6CL,D1D,1,7975061,,,,,,,,,,,,,,,,,
D604231,52,A29M4052SLD4,0,0,0,0.003553,0.007105,0,0,0,0.230923,0,0,0,0,0.003553,0.003553,0,,D6042310,PXMG,04/25/2026 1:37:57 PM,BPD454,8M6CL,8M6CL,07/05/2026 12:44:41 AM,8M6CL,D1D,2,7975158,,,,,,,,,,,,,,,,,
D605321,567,KJ9HF567WFE2,0.003584,0,0,0.003584,0.003584,0,0,0,0.207884,0,0,0,0.007168,0.003584,0.003584,0,,D6053210,PXMG,04/25/2026 9:35:39 PM,BPD448,8M6CL,8M6CL,07/21/2026 1:19:39 AM,8M6CL,D1D,1,8008190,,,,,,,,,,,,,,,,,
D605321,568,KJ9HF568WFB1,0,0,0,0.010658,0.003553,0,0,0,0.22737,0,0,0,0,0.003553,0.010658,0.003553,,D6053210,PXMG,04/25/2026 9:35:39 PM,BPD448,8M6CL,8M6CL,07/21/2026 11:59:45 AM,8M6CL,D1D,2,8008235,,,,,,,,,,,,,,,,,
D605322,28,MCAED028WAF4,0,0,0,0.042632,0,0,0,0,0.198949,0,0,0,0.007105,0.003553,0.010658,0.003553,,D6053220,PXMG,04/25/2026 6:17:48 PM,BPD442,8M6CL,8M6CL,07/21/2026 4:21:02 PM,8M6CL,D1D,1,8010181,,,,,,,,,,,,,,,,,
D605322,80,MCBLJ080WAB4,0,0,0,0.042632,0,0,0,0,0.156317,0,0,0,0.003553,0,0.003553,0,,D6053220,PXMG,04/25/2026 6:17:48 PM,BPD442,8M6CL,8M6CL,07/21/2026 4:14:00 PM,8M6CL,D1D,2,8010221,,,,,,,,,,,,,,,,,
D605322,210,MCC2N210WAE2,0,0,0,0.035527,0.007105,0,0,0,0.195396,0,0,0,0.003553,0,0.021316,0,,D6053220,PXMG,04/25/2026 6:17:48 PM,BPD442,8M6CL,8M6CL,07/21/2026 3:20:34 PM,8M6CL,D1D,3,8010151,,,,,,,,,,,,,,,,,
D605322,308,MCC2N308WAD3,0,0,0,0.021316,0.003553,0,0,0,0.15987,0,0,0,0,0.003553,0,0.028421,,D6053220,PXMG,04/25/2026 6:17:48 PM,BPD442,8M6CL,8M6CL,07/21/2026 4:13:29 PM,8M6CL,D1D,4,8010043,,,,,,,,,,,,,,,,,
D605332,151,GT9ZQ151JKD6,0,0,0,0.003584,0.003584,0,0,0,0.182794,0,0,0,0,0.003584,0.007168,0.003584,,D6053320,PXMG,04/25/2026 4:49:52 AM,BPD454,8M6CL,8M6CL,08/10/2026 5:58:39 AM,8M6CL,D1D,1,8012855,,,,,,,,,,,,,,,,,
D605332,152,GT9ZQ152JKA5,0.003553,0,0,0.074606,0,0.003553,0,0,0.142107,0,0.003553,0,0.003553,0,0.003553,0,,D6053320,PXMG,04/25/2026 4:49:52 AM,BPD454,8M6CL,8M6CL,08/09/2026 8:48:18 PM,8M6CL,D1D,2,8012895,,,,,,,,,,,,,,,,,
D603183,375,KJ7KQ375WFE0,0,0,0,0.0681,0,0.003584,0,0,0.168458,0,0,0,0.003584,0,0,0.003584,,D6031830,PXMG,04/24/2026 2:35:11 AM,BPD442,8M6CL,8M6CL,07/03/2026 4:48:52 PM,8M6CL,D1D,1,7938262,,,,,,,,,,,,,,,,,
D603183,380,KJ7KQ380WFC0,0,0,0,0.067501,0,0,0,0,0.202502,0,0,0,0,0,0,0.003553,,D6031830,PXMG,04/24/2026 2:35:11 AM,BPD442,8M6CL,8M6CL,07/04/2026 6:22:46 AM,8M6CL,D1D,2,7938312,,,,,,,,,,,,,,,,,
D603183,409,KJ7KQ409WFD3,0,0,0,0.064516,0.003584,0,0,0,0.161289,0,0,0,0.003584,0.010753,0.007168,0.003584,,D6031830,PXMG,04/24/2026 2:35:11 AM,BPD442,8M6CL,8M6CL,07/04/2026 11:44:28 PM,8M6CL,D1D,3,7938303,,,,,,,,,,,,,,,,,
D603183,410,KJ7KQ410WFG4,0,0,0,0.095922,0,0.003553,0,0,0.198949,0,0,0,0,0,0.014211,0,,D6031830,PXMG,04/24/2026 2:35:11 AM,BPD442,8M6CL,8M6CL,07/06/2026 1:33:49 AM,8M6CL,D1D,4,7938242,,,,,,,,,,,,,,,,,
D604225,452,KJ9HB452WFA0,0,0,0,0.010658,0,0,0,0,0.21316,0,0,0,0.003553,0.007105,0.007105,0,,D6042250,PXMG,04/24/2026 10:40:19 PM,BPD444,8M6CL,8M6CL,06/29/2026 5:19:59 PM,8M6CL,D1D,1,7972549,,,,,,,,,,,,,,,,,
D604225,454,KJ9HB454WFB1,0,0,0,0.028421,0.003553,0,0,0,0.198949,0,0,0,0.003553,0.007105,0,0,,D6042250,PXMG,04/24/2026 10:40:19 PM,BPD444,8M6CL,8M6CL,07/02/2026 9:15:43 AM,8M6CL,D1D,2,7972608,,,,,,,,,,,,,,,,,
D603160,344,MCC2Q344WAF4,0.003553,0,0,0.039079,0.003553,0,0,0,0.145659,0,0,0,0.003553,0.007105,0,0,,D6031600,PXMG,04/23/2026 9:48:49 PM,BPD436,8M6CL,8M6CL,04/24/2026 8:15:18 AM,8M6CL,D1D,1,7942019,,,,,,,,,,,,,,,,,
D603160,351,MCC2Q351WAE5,0.003584,0,0,0.017921,0.003584,0,0.003584,0,0.197131,0,0,0,0.003584,0,0.003584,0,,D6031600,PXMG,04/23/2026 9:48:49 PM,BPD436,8M6CL,8M6CL,07/21/2026 12:47:08 AM,8M6CL,D1D,2,7942088,,,,,,,,,,,,,,,,,
D603160,362,MCC2Q362WAG0,0,0,0,0.014211,0.003553,0,0,0,0.166975,0,0,0,0,0.007105,0.003553,0,,D6031600,PXMG,04/23/2026 9:48:49 PM,BPD436,8M6CL,8M6CL,07/20/2026 10:17:46 PM,8M6CL,D1D,3,7942024,,,,,,,,,,,,,,,,,
D603160,365,MCC2Q365WAE0,0.003584,0,0,0.007168,0,0.003584,0,0,0.082437,0,0,0,0,0.007168,0.007168,0.003584,,D6031600,PXMG,04/23/2026 9:48:49 PM,BPD436,8M6CL,8M6CL,07/20/2026 11:51:50 PM,8M6CL,D1D,4,7942127,,,,,,,,,,,,,,,,,
D603180,38,A25YU038SLB7,0,0,0,0.209607,0.003553,0,0,0,0.131449,0,0,0,0,0.003553,0.003553,0.003553,,D6031800,PXMG,04/23/2026 5:16:53 AM,BPD442,8M6CL,8M6CL,04/23/2026 8:31:10 AM,8M6CL,D1D,1,7938417,,,,,,,,,,,,,,,,,
D603180,50,A25YU050SLG3,0,0,0,0.110133,0.003553,0.003553,0,0,0.120791,0,0,0,0,0,0,0,,D6031800,PXMG,04/23/2026 5:16:53 AM,BPD442,8M6CL,8M6CL,07/05/2026 5:59:55 AM,8M6CL,D1D,2,7938411,,,,,,,,,,,,,,,,,
D603162,11,GS4VR011JKC2,0,0,0,0.021505,0,0,0,0,0.093189,0,0,0,0,0.007168,0.010753,0.003584,,D6031620,PXMG,04/27/2026 11:44:46 AM,BPD432,8M6CL,8M6CL,06/21/2026 8:01:10 AM,8M6CL,D1D,1,7942074,,,,,,,,,,,,,,,,,
D603162,29,GS4VR029JKD7,0.003584,0,0,0.010753,0,0,0,0,0.118279,0,0,0,0.007168,0,0.007168,0,,D6031620,PXMG,04/27/2026 11:44:46 AM,BPD432,8M6CL,8M6CL,06/21/2026 10:02:20 PM,8M6CL,D1D,2,7942166,,,,,,,,,,,,,,,,,
D604223,134,ICDKA134MME7,0.003553,0,0,0.017763,0,0,0,0,0.177633,0,0,0,0,0,0.024869,0.003553,,D6042230,PXMG,04/28/2026 4:11:34 PM,BPD432,8M6CL,8M6CL,06/09/2026 10:34:52 AM,8M6CL,D1D,1,7972947,,,,,,,,,,,,,,,,,
D604223,139,ICDKA139MME0,0,0,0,0.032258,0.007168,0.014337,0,0,0.154121,0,0,0,0.007168,0.003584,0.007168,0,,D6042230,PXMG,04/28/2026 4:11:34 PM,BPD432,8M6CL,8M6CL,06/09/2026 3:06:30 AM,8M6CL,D1D,2,7972901,,,,,,,,,,,,,,,,,
D604208,5,5DXBQ005MVE4,0,0,0,0.025264,0,0.007218,0,0,0.191285,0,0,0,0,0.003609,0,0,,D6042080,PNCB,04/28/2026 7:33:15 PM,BPD442,8M6CL,8M6CL,07/07/2026 12:51:07 PM,8M6CL,D1D,1,7970300,,,,,,,,,,,,,,,,,
D604208,11,5DXBQ011MVG6,0,0,0,0.025264,0,0,0,0,0.191285,0,0,0,0.003609,0.007218,0.003609,0,,D6042080,PNCB,04/28/2026 7:33:15 PM,BPD442,8M6CL,8M6CL,07/07/2026 1:39:27 PM,8M6CL,D1D,2,7970365,,,,,,,,,,,,,,,,,
D605318,426,GS8QK426JKH0,0,0.003553,0,0.021316,0,0,0.007105,0,0.152765,0,0,0,0.003553,0,0.003553,0.003553,,D6053180,PXMG,04/29/2026 9:54:01 AM,BPD450,8M6CL,8M6CL,07/20/2026 12:43:21 PM,8M6CL,D1D,1,8008084,,,,,,,,,,,,,,,,,
D605318,428,GS8QK428JKA6,0,0,0,0.014211,0,0.003553,0,0,0.181186,0,0,0,0.003553,0,0.017763,0,,D6053180,PXMG,04/29/2026 9:54:01 AM,BPD450,8M6CL,8M6CL,07/20/2026 12:21:34 PM,8M6CL,D1D,2,8007985,,,,,,,,,,,,,,,,,
D604221,107,IEFQD107MMF3,0,0,0,0.107526,0.014337,0,0,0,0.086021,0,0,0,0,0,0,0,,D6042210,PXMG,04/27/2026 7:17:06 PM,BPD458,8M6CL,8M6CL,07/13/2026 3:20:56 PM,8M6CL,D1D,1,7972878,,,,,,,,,,,,,,,,,
D604221,110,IEFQD110MMC2,0,0,0,0.031974,0,0.007105,0,0,0.099475,0,0,0,0.007105,0.010658,0.003553,0,,D6042210,PXMG,04/27/2026 7:17:06 PM,BPD458,8M6CL,8M6CL,07/12/2026 5:07:52 AM,8M6CL,D1D,2,7972873,,,,,,,,,,,,,,,,,
D604240,209,KJA6F209WFB0,0,0,0,0.010753,0,0,0.007168,0,0.1362,0.003584,0,0,0,0.007168,0.017921,0,,D6042400,PXMG,04/26/2026 3:02:02 PM,BPD454,8M6CL,8M6CL,06/10/2026 5:37:30 AM,8M6CL,D1D,1,7977305,,,,,,,,,,,,,,,,,
D604240,297,KJA6F297WFD4,0.003584,0,0,0.007168,0,0.003584,0,0,0.222221,0,0,0,0.007168,0,0.021505,0,,D6042400,PXMG,04/26/2026 3:02:02 PM,BPD454,8M6CL,8M6CL,06/10/2026 7:46:10 AM,8M6CL,D1D,2,7977347,,,,,,,,,,,,,,,,,
D605329,6,KJ9PL006WFD5,0,0,0,0.021316,0.003553,0,0,0,0.234476,0,0,0,0.014211,0.024869,0.010658,0,,D6053290,PXMG,04/26/2026 11:21:44 PM,BPD454,8M6CL,8M6CL,08/09/2026 4:14:06 AM,8M6CL,D1D,1,8010060,,,,,,,,,,,,,,,,,
D605329,21,KJ9PL021WFG1,0,0,0,0.039426,0,0,0,0,0.2043,0,0,0,0.003584,0,0.007168,0,,D6053290,PXMG,04/26/2026 11:21:44 PM,BPD454,8M6CL,8M6CL,08/09/2026 4:55:37 PM,8M6CL,D1D,2,8010035,,,,,,,,,,,,,,,,,
D605316,504,GT9LN504JKG3,0,0,0,0.017763,0,0,0,0,0.259344,0,0.003553,0,0.003553,0,0.003553,0,,D6053160,PXMG,05/02/2026 2:42:37 PM,BPD454,8M6CL,8M6CL,08/10/2026 6:04:43 AM,8M6CL,D1D,1,8004945,,,,,,,,,,,,,,,,,
D605316,505,GT9LN505JKD2,0.04301,0.010753,0,0.017921,0.003584,0.003584,0,0,0.272399,0,0,0,0.010753,0.010753,0.003584,0.021505,,D6053160,PXMG,05/02/2026 2:42:37 PM,BPD454,8M6CL,8M6CL,08/09/2026 9:19:45 PM,8M6CL,D1D,2,8005015,,,,,,,,,,,,,,,,,
D604226,35,ICDKA035MMC5,0,0,0,0.003584,0,0,0,0.003584,0.505373,0,0,0,0.007168,0,0.014337,0,,D6042260,PXMG,05/02/2026 1:36:52 PM,BPD454,8M6CL,8M6CL,07/06/2026 2:16:48 AM,8M6CL,D1D,1,7974720,,,,,,,,,,,,,,,,,
D604226,39,ICDKA039MME7,0,0,0,0.04301,0.003584,0,0,0,0.35842,0,0,0,0.007168,0,0.007168,0,,D6042260,PXMG,05/02/2026 1:36:52 PM,BPD454,8M6CL,8M6CL,07/04/2026 12:19:07 PM,8M6CL,D1D,2,7974784,,,,,,,,,,,,,,,,,
D604218,5,KJA6K005WFC3,0,0,0,0.003584,0,0,0,0,0.11111,0,0,0,0.007168,0.007168,0.017921,0,,D6042180,PXMG,05/02/2026 4:50:38 PM,BPD442,8M6CL,8M6CL,07/20/2026 12:52:02 PM,8M6CL,D1D,1,7968398,,,,,,,,,,,,,,,,,
D604218,24,KJA6K024WFH1,0,0,0,0.003553,0.007105,0,0,0,0.223818,0,0,0,0.007105,0.003553,0.007105,0,,D6042180,PXMG,05/02/2026 4:50:38 PM,BPD442,8M6CL,8M6CL,07/22/2026 4:48:22 PM,8M6CL,D1D,2,7968382,,,,,,,,,,,,,,,,,
